codigo_deliberacao,resultado_legislativo,descricao
APROVADA_EM_COMISSAO_TERMINATIVA,APROVADA,"Aprovada por Comissão em decisão terminativa"
APROVADA_NO_PLENARIO,APROVADA,"Aprovada pelo Plenário"
APROVADA_PARCIALMENTE,APROVADA,"Aprovada parcialmente pelo Plenário"
APROVADO_CDIR,APROVADA,"Aprovada pela Comissão Diretora"
APROVADO_NA_INTEGRA,APROVADA,"Aprovada na íntegra"
APROVADO_PLV,APROVADA,"Aprovada na forma de Projeto de Lei de Conversão"
APROVADO_PLV_COM_EMENDAS,APROVADA,"Aprovada na forma de Projeto de Lei de Conversão, com emendas"
ARQUIVADO_FIM_LEGISLATURA,OUTRO,"Arquivada ao final da Legislatura (art. 332 do RISF)"
CONHECIDA,OUTRO,"Conhecida"
DEFERIDO_CDIR,OUTRO,"Deferida pela Comissão Diretora"
DEFERIDO_PRESIDENCIA_ART_101_RISF,OUTRO,"Deferida pela Presidência (art. 101, inc. I, do RISF)"
DEFERIDO_PRESIDENCIA_ART_214_RISF,OUTRO,"Deferida pela Presidência (art. 214, parágrafo único, III, do RISF)"
DEFERIDO_PRESIDENCIA_ART_215_RISF,OUTRO,"Deferida pela Presidência (art. 215, inc. II, e art. 256, § 2, inc. I, do RISF)"
DEFERIDO_PRESIDENCIA_ART_41_RISF,OUTRO,"Deferida pela Presidência (art. 41 do RISF)"
DEVOLVIDO_CD_ACAO_JUD,OUTRO,"Devolvido à Câmara dos Deputados em virtude de decisão judicial"
IMPUGNADO_PRESIDENCIA,OUTRO,"Impugnada pela Presidência (art. 48, inc. XI, do RISF)"
INADIMITIDA_URGENCIA,OUTRO,"Inadmitida quanto aos pressupostos constitucionais de relevância e urgência"
PARA_PUBLICACAO,OUTRO,"À publicação para que produza efeitos"
PERDA_EFICACIA,OUTRO,"Perda de eficácia, em decorrência do término do prazo para sua votação no Congresso"
PREJUDICADO,OUTRO,"Prejudicada"
PUBLICADO,OUTRO,"Publicada"
REAUTUADO,OUTRO,"Reautuada"
REEDITADA,OUTRO,"Reeditada"
REJEITADO_COMISSAO_NAO_TERM,REJEITADA,"Rejeitada por Comissão em decisão não terminativa (art. 254 do RISF)"
REJEITADO_COMISSAO_TERM,REJEITADA,"Rejeitada por Comissão em decisão terminativa (art. 91, § 5º, do RISF)"
REJEITADO_INCONSTICIONALIDADE_CCJ,REJEITADA,"Rejeitada pela CCJ por inconstitucionalidade (art. 101, § 1º, do RISF)"
REJEITADO_PLENARIO,REJEITADA,"Rejeitada pelo Plenário"
REJEITADO_PLENARIO_CD,REJEITADA,"Rejeitada pelo Plenário da Câmara dos Deputados"
RETIRADA_DE_ASSINATURA,OUTRO,"Retirada de assinaturas (art. 244 do RISF)"
RETIRADO_PELO_AUTOR,OUTRO,"Retirada pelo autor"
REVOGADO,OUTRO,"Revogada"
SEM_EFICACIA,OUTRO,"Sem eficácia (art. 48, II e XI, do RISF)"
TRANSF_IND,OUTRO,"Transformada em Indicação"
TRANSF_PROJ_LEI_SEN,OUTRO,"Transformada em Projeto de Lei do Senado"
TRANSF_PROJ_RES_SEN,OUTRO,"Transformada em Projeto de Resolução do Senado"
TRANSF_PROPOSTA_DE_EC,OUTRO,"Transformada em Proposta de Emenda à Constituição"
