sigla,descricao,dataInicio,dataFim
ACE,Aviso da Comissão de Educação,2017-01-01T00:00:00,2024-09-18T00:00:00
ACL,Ato Conjunto Legislativo,2023-01-01T00:00:00,
ADF,Anteprojeto de Lei do DF,1940-01-01T00:00:00,2005-05-24T00:00:00
ADL,Anteprojeto de Decreto Legislativo,1970-01-01T00:00:00,1990-07-27T00:00:00
ADV,Advertencia,1946-01-01T00:00:00,
AFC,"Aviso da Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",2017-01-01T00:00:00,2024-09-18T00:00:00
AFS,Afastamento do Exercício do Mandato,2008-01-01T00:00:00,
AJECN,Ajuste de emenda orçamentária,2015-01-01T00:00:00,
AMA,"Aviso da Comissão de Meio Ambiente, Defesa do Cons. e Fisc. e Controle",2012-02-13T00:00:00,2024-09-18T00:00:00
AP.,Anteprojeto,1946-01-01T00:00:00,
APR,Anteprojeto de Resolução do Senado,1970-01-01T00:00:00,2005-05-24T00:00:00
ATC,Ato Convocatório,2003-12-15T00:00:00,2024-09-27T00:00:00
ATCN,Ato do Presidente da Mesa do Congresso Nacional,2016-01-01T00:00:00,
ATD,Ato da Comissão Diretora,2015-08-18T00:00:00,
ATM,Ato do Presidente da Mesa do Congresso Nacional,2007-11-01T00:00:00,2022-12-21T00:00:00
ATN,Ato Conjunto dos Presidentes do Senado e da Câmara,2003-01-01T00:00:00,2022-12-21T00:00:00
ATS,Ato do Presidente do Senado Federal,2005-01-03T00:00:00,
AUT,Escolha de Autoridade para o Conselho da República,1946-01-01T00:00:00,2024-09-27T00:00:00
AV.,Aviso,1900-01-01T00:00:00,
AVE,Aviso da Comissão de Assuntos Econômicos,2015-03-18T00:00:00,2024-09-18T00:00:00
AVN,Aviso (CN),2000-05-11T00:00:00,
AVS, Aviso,1999-08-11T00:00:00,
CAR,Carta,1946-01-01T00:00:00,1970-01-01T00:00:00
CCC,Consulta do Conselho de Comunicação Social,2004-08-04T00:00:00,
