casa,codigo_origem,descricao,posicao,categoria,fl_presente
CAMARA,SIM,SIM,SIM,VOTOU,1
CAMARA,NAO,NAO,NAO,VOTOU,1
CAMARA,OBSTRUCAO,OBSTRUCAO,OBSTRUCAO,VOTOU,1
CAMARA,ABSTENCAO,ABSTENCAO,ABSTENCAO,VOTOU,1
CAMARA,BRANCO,BRANCO,BRANCO,VOTOU,1
CAMARA,FAVORAVEL COM RESTRICOES,FAVORAVEL COM RESTRICOES,SIM,VOTOU,1
CAMARA,ARTIGO 17,PRESIDENTE DA SESSAO (ART. 17 RICD),,PRESIDENCIA,1
CAMARA,NAO INFORMADO,TIPO DE VOTO VAZIO NA ORIGEM,,NAO INFORMADO,
SENADO,SIM,SIM,SIM,VOTOU,1
SENADO,SIM - PRESIDENTE ART.48 INCISO XXIII,SIM DO PRESIDENTE (ART. 48 XXIII RISF),SIM,VOTOU,1
SENADO,NAO,NAO,NAO,VOTOU,1
SENADO,ABSTENCAO,ABSTENCAO,ABSTENCAO,VOTOU,1
SENADO,OBSTRUCAO,OBSTRUCAO,OBSTRUCAO,VOTOU,1
SENADO,P-OD,PRESENTE - OBSTRUCAO DECLARADA,OBSTRUCAO,VOTOU,1
SENADO,VOTOU,VOTOU EM VOTACAO SECRETA,,VOTO SECRETO,1
SENADO,P-NRV,PRESENTE - NAO REGISTROU VOTO,,PRESENTE SEM VOTO,1
SENADO,PRESIDENTE (ART. 51 RISF),PRESIDENTE DA SESSAO (ART. 51 RISF),,PRESIDENCIA,1
SENADO,AP,ATIVIDADE PARLAMENTAR,,AUSENCIA JUSTIFICADA,0
SENADO,MIS,MISSAO DA CASA NO PAIS/EXTERIOR,,AUSENCIA JUSTIFICADA,0
SENADO,REP,REPRESENTACAO EM SOLENIDADE INTERNAC./NAC./REG.,,AUSENCIA JUSTIFICADA,0
SENADO,MERC,PARLAMENTO DO MERCOSUL,,AUSENCIA JUSTIFICADA,0
SENADO,LS,LICENCA SAUDE,,AUSENCIA JUSTIFICADA,0
SENADO,LP,LICENCA PARTICULAR,,AUSENCIA JUSTIFICADA,0
SENADO,LG,LICENCA A GESTANTE,,AUSENCIA JUSTIFICADA,0
SENADO,LA,LICENCA A ADOTANTE,,AUSENCIA JUSTIFICADA,0
SENADO,LAP,LICENCA PATERNIDADE OU AO ADOTANTE,,AUSENCIA JUSTIFICADA,0
SENADO,NCOM,NAO COMPARECEU,,AUSENCIA NAO JUSTIFICADA,0
SENADO,NA,DISPOSITIVO NAO CITADO,,NAO INFORMADO,
